"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$14,386,575,874","1.36%","USA","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$14,374,972,701","0.00%","USA","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$14,276,027,691","0.00%","USA","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$14,247,508,399","0.00%","USA","Analyze"
"SPOT","Spotify Technology SA","Common stocks","Large cap","Communication Services","$14,241,167,715","0.00%","Luxembourg","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$14,224,111,764","0.03%","USA","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$14,213,709,202","1.91%","USA","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$14,131,708,189","0.00%","USA","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$14,033,395,488","0.00%","USA","Analyze"
"BAH","Booz Allen Hamilton Holding Corp","Common stocks","Large cap","Industrials","$13,961,762,663","1.62%","USA","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$13,846,268,442","0.00%","USA","Analyze"
"NET","Cloudflare, Inc. Class A","Common stocks","Large cap","Information Technology","$13,778,614,318","0.00%","USA","Analyze"
"AXON","Axon Enterprise, Inc.","Common stocks","Large cap","Industrials","$13,673,711,118","0.00%","USA","Analyze"
"AVTR","Avantor, Inc.","Common stocks","Large cap","Health Care","$13,625,671,207","0.00%","USA","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$13,612,322,846","3.50%","USA","Analyze"
"OVV","Ovintiv Inc.","Common stocks","Large cap","Energy","$13,567,513,500","1.53%","USA","Analyze"
"HUBS","Hubspot Inc","Common stocks","Large cap","Information Technology","$13,512,438,216","0.00%","USA","Analyze"
"ARES","Ares Management Corporation Class A","Common stocks","Large cap","Financials","$13,507,689,564","2.92%","USA","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$13,497,443,799","3.14%","USA","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$13,437,711,066","4.14%","USA","Analyze"
